name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
. ví da thời trang nam nhập khẩu lucaster LC008-Bh 1 năm -fullbox (có hộp).	TP. Hồ Chí Minh	1602518724	1609994498	7475774	True	38%	False	4	False	4.936508	60	2	1	0	0	None	None	9920000000	16000000000	9920000000	16000000000	9920000000	16000000000	None	4394	1916	63	False	False	9	0	123
Ví da nam BAZANTINO Chester Billfold nhập khẩu thiết kế Anh Quốc sang trọng, cổ điển - CHW24	Hà Nội	1604121144	1609994498	5873354	False	None	False	1	False	5.0	2	0	0	0	0	None	None	59500000000	-1	59500000000	-1	59500000000	0	None	92	658	2	False	False	9	1	3
Ví Da Nam chất da Safiano vân da đẹp thời trang phong cách trẻ trung  BULLSHOP  VD101	TP. Hồ Chí Minh	1604299736	1609994498	5694762	False	18%	False	2	False	4.733333	14	0	0	0	1	None	None	18000000000	22000000000	18000000000	22000000000	18000000000	22000000000	None	635	3888	15	False	False	9	0	102
Ví da nam cao cấp phong cách thời trang ví da thật chất lượng cao kiểu dáng ví đẹp sang trọng - BULLSHOP VD124	TP. Hồ Chí Minh	1606114437	1609994498	3880061	False	21%	False	2	False	5.0	3	0	0	0	0	None	None	22000000000	27900000000	22000000000	27900000000	22000000000	27900000000	None	591	4414	3	False	False	9	0	32
Ví nam cầm tay VARADO VD090D kẻ caro thời trang sành điệu	Hà Nội	1603531963	1609994498	6462535	False	39%	False	2	True	4.75	41	4	1	2	0	None	None	7900000000	12900000000	7900000000	12900000000	7900000000	12900000000	None	241	4200	48	False	True	9	1	147
Set 3 món balo thời trang nam - 3M NAM	TP. Hồ Chí Minh	1600434042	1609994498	9560456	True	None	False	5	False	4.545455	17	2	2	0	1	None	None	5200000000	-1	5200000000	-1	5200000000	0	None	7	662	22	False	False	5	0	45
Balo thời trang nam ❣️freship❣️ balo gucci	Hà Nội	1603177616	1609994498	6816882	False	None	False	6	False	5.0	1	0	0	0	0	None	None	15940000000	-1	15940000000	-1	15940000000	0	None	1	135	1	False	False	9	0	2
. ví da thời trang nam nhập khẩu lucaster LC008-Bh 1 năm -fullbox (có hộp).	TP. Hồ Chí Minh	1602518724	1609994498	7475774	True	38%	False	4	False	4.936508	60	2	1	0	0	None	None	9920000000	16000000000	9920000000	16000000000	9920000000	16000000000	None	4394	1916	63	False	False	9	0	123
Ví cầm tay Lv thời trang nam	Hà Nội	1576505218	1609994498	33489280	False	20%	False	1	False	4.8	74	6	4	1	0	None	None	9600000000	12000000000	9600000000	12000000000	9600000000	12000000000	None	340	214	85	False	True	5	0	214
TÚI ĐEO CHÉO DA THỜI TRANG NAM CAO CẤP (kèm ảnh thật cuối trang)	TP. Hồ Chí Minh	1573290986	1609994498	36703512	True	None	False	1	False	4.876248	458	29	11	1	2	None	None	7200000000	-1	7200000000	-1	7200000000	0	None	388	7013	501	False	True	7	1	1376
Ví vải da cầm tay thời trang nam	Nước ngoài	1576400546	1609994498	33593952	True	36%	False	4	False	4.833333	27	1	2	0	0	None	None	10500000000	16423900000	10500000000	16423900000	10500000000	16423900000	None	50	301	30	False	True	8	0	102
Ví Nam Victory Ví Ngang Thời Trang Nam Full Box Hộp	Hà Nội	1577178064	1609994498	32816434	True	24%	False	2	False	4.836854	765	53	22	7	6	None	None	2900000000	3800000000	2900000000	3800000000	2900000000	3800000000	None	6569	2389	853	False	True	8	1	2400
TÚI ĐEO CHÉO DA THỜI TRANG NAM (kèm ảnh thật cuối trang)	TP. Hồ Chí Minh	1573291313	1609994498	36703185	True	None	False	1	False	4.856678	284	12	6	0	5	None	None	7200000000	-1	7200000000	-1	7200000000	0	None	209	1847	307	False	True	7	1	867
Ví nam Minh Tâm da PVC cao cấp , thời trang nam Minh Tâm MT417 , đen hoặc nâu	TP. Hồ Chí Minh	1528905676	1609994498	81088822	False	37%	False	2	True	4.83887	1101	51	27	11	14	None	None	5000000000	7900000000	5000000000	7900000000	5000000000	7900000000	None	359	12272	1203	False	True	9	0	2323
Túi Trống Đeo Chéo Thời Trang Nam TD20 Vải Dù Chống Nước Chống Nhăn Trơn	Hà Nội	1578454083	1609994498	31540415	True	42%	False	1	False	4.866667	13	2	0	0	0	None	None	14900000000	25500000000	14900000000	25500000000	14900000000	25500000000	None	1502	355	15	False	True	9	1	38
Túi đeo vai, túi đeo hông da PU, túi đeo chéo cao cấp nhiều ngăn tiện lợi thời trang nam phong cách TV0103	Hà Nội	1555148975	1609994498	54845523	True	50%	False	8	False	4.892922	506	35	7	2	1	None	None	13900000000	27600000000	19600000000	30200000000	13900000000	27600000000	None	199	2000	551	True	True	9	1	1136
Túi Đeo Chéo Thời Trang Nam Vải Canvas Siêu Bền-Đẹp.	Hà Nội	1599840067	1609994498	10154431	True	46%	False	3	False	4.771429	29	4	2	0	0	None	None	5900000000	11000000000	5900000000	11000000000	5900000000	11000000000	None	19	782	35	False	False	7	0	80
Balo thời trang nam ❣️freship❣️ balo gucci	Hà Nội	1601885160	1609994498	8109338	False	7%	False	6	False	4.722222	15	1	2	0	0	None	None	14900000000	16000000000	14900000000	16000000000	14900000000	16000000000	None	21	936	18	False	False	9	1	68
[sẵn hàng -bảo hành 6 tháng] Túi đeo chéo OZUKO không thấm nước chống trộm có cổng USB thời trang nam	Hà Nội	1587441464	1609994498	22553034	False	4%	False	5	False	4.95	156	1	2	1	0	None	None	26500000000	27500000000	26500000000	27500000000	26500000000	27500000000	None	102	2091	160	False	True	9	1	775
BALO DA NAM⚡HÀNG MỚI⚡BALO THỜI TRANG NAM DA PU CAO CẤP⚡	Hà Nội	1592364780	1609994498	17629718	True	50%	False	2	False	4.765766	97	7	4	1	2	None	None	24700000000	49000000000	24700000000	49000000000	24700000000	49000000000	None	211	1101	111	False	False	9	1	923
Balo Thời Trang Nam COLKIDS BACKPACK SS3 Phản Quang Unisex	Quảng Ninh	1584354412	1609994498	25640086	False	36%	False	3	False	5.0	2	0	0	0	0	None	None	10900000000	16900000000	18900000000	24900000000	10900000000	16900000000	None	26	202	2	False	False	8	1	4
Túi thể thao đeo chéo cỡ lớn chống thấm nước thời trang nam HeyMister HM01	Hà Nội	1585647680	1609994498	24346818	False	48%	False	3	False	4.909091	20	2	0	0	0	None	None	11900000000	22900000000	14900000000	22900000000	11900000000	22900000000	None	41	1147	22	False	True	9	0	44
[HOTTREND] Balo Da Nam Hàn Quốc - Balo Thời trang Nam - Đựng laptop	Hà Nội	1605521916	1609994498	4472582	False	42%	False	1	False	5.0	5	0	0	0	0	None	None	38000000000	65000000000	38000000000	65000000000	38000000000	65000000000	None	859	394	5	False	False	9	0	104
Túi Đeo Chéo Thời Trang Nam 5 Màu Phong Cách (T_07)	Hà Nội	1554259484	1609994498	55735014	True	29%	False	5	False	4.907419	1524	77	20	6	4	None	None	9900000000	14000000000	9900000000	14000000000	9900000000	14000000000	None	639	1659	1630	False	True	9	1	3677
Ví Da BOSTANTEN Nhỏ Gọn Cổ Điển Thời Trang Nam	Nước ngoài	1562833520	1609994498	47160978	False	17%	False	2	True	4.870968	29	0	2	0	0	None	None	25000000000	30000000000	25000000000	30000000000	25000000000	30000000000	None	32	1610	31	False	True	9	0	59
(FREE SHIP 50K) Balo nam Đi Học Hàn Quốc Balo Thời Trang Nam Công Nghệ Màu Đen Combo Tai Nghe	Hà Nội	1553050848	1609994498	56943650	True	40%	False	3	False	4.75969	114	6	4	3	2	None	None	17900000000	30000000000	17900000000	30000000000	17900000000	30000000000	None	5973	390	129	False	True	8	1	2115
Balo đeo chéo thời trang nam YUUMY YBAC1 nhiều màu	TP. Hồ Chí Minh	1562035990	1609994498	47958508	False	60%	False	4	True	5.0	17	0	0	0	0	None	None	12400000000	31000000000	12400000000	31000000000	12400000000	31000000000	None	8	163	17	False	True	9	0	29
Balo thời trang nam ❣️freship❣️ balo gucci	Hà Nội	1609470885	1609994498	523613	False	None	False	6	False	0.0	0	0	0	0	0	None	None	15890000000	-1	15890000000	-1	15890000000	0	None	1	18	0	False	False	9	1	0
Túi Đeo Chéo Thời Trang Nam Hàn Quốc TD04 Túi Messenger Chất Liệu Vải Màu Đen Unisex Phù Hợp Nam Nữ	Hà Nội	1565668491	1609994498	44326007	True	40%	False	3	False	4.84375	29	1	2	0	0	None	None	14900000000	24900000000	14900000000	24900000000	14900000000	24900000000	None	1726	838	32	False	True	9	0	82
Ví da nam theo yêu cầu - Ví da cao cấp - Thời trang nam	Thừa Thiên Huế	1600330523	1609994498	9663975	False	None	False	1	False	0.0	0	0	0	0	0	None	None	11900000000	-1	11900000000	-1	11900000000	0	None	0	1	0	False	False	4	0	0
[SALE HOT] Balo Thời trang Nam Đẹp - Balo chống nước, Đựng laptop cỡ vừa	Hà Nội	1605522286	1609994498	4472212	False	38%	False	1	False	5.0	7	0	0	0	0	None	None	32500000000	52000000000	32500000000	52000000000	32500000000	52000000000	None	781	399	7	False	False	8	0	127
Balo thời trang nam ⛔️BIG SALE	TP. Hồ Chí Minh	1609387727	1609994498	606771	False	None	False	1	False	0.0	0	0	0	0	0	None	None	35000000000	-1	35000000000	-1	35000000000	0	None	0	0	0	False	False	4	0	0
Balo thời trang nam da cao cấp ETONWEAG E6261	Hà Nội	1575432410	1609994498	34562088	True	24%	False	3	False	5.0	33	0	0	0	0	None	None	31900000000	41900000000	31900000000	41900000000	31900000000	41900000000	None	210	735	33	False	True	9	1	91
❤️[ FREE SHIP] Ví da nam , ví da chất liệu da bò thật, phụ kiện thời trang nam đẹp! Giảm giá để xả hàng!	Hải Phòng	1606624184	1609994498	3370314	False	None	False	1	False	0.0	0	0	0	0	0	None	None	17500000000	-1	17500000000	-1	17500000000	0	None	0	94	0	False	False	6	0	0
Túi đeo chéo nam, túi đeo vai đựng Ipad mini da PU thời trang nam phong cách Hàn quốc kèm dây cáp USB TC09Z	Hà Nội	1561796980	1609994498	48197518	True	50%	False	3	False	4.795455	78	6	1	2	1	None	None	5600000000	11200000000	5600000000	11200000000	5600000000	11200000000	None	23	100	88	True	True	7	1	195
Thời trang nam - Ví Nam Pagini Da Bò - Viền Chỉ Nổi - VID03 - TQVSTORE	Hà Nội	1608796259	1609994498	1198239	False	None	False	2	False	0.0	0	0	0	0	0	None	None	25896000000	-1	25896000000	-1	25896000000	0	None	0	2	0	False	False	9	1	0
