category	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Ao ngan tay khong co	TP. Hồ Chí Minh	1607316973.0	1609949428.0	2632455.0	True	39%	False	8.0	False	5.0	4.0	0.0	0.0	0.0	0.0	None	None	14900000000.0	24500000000.0	14900000000.0	24500000000.0	14900000000.0	24500000000.0	None	7.0	1048.0	4.0	True	False	8.0	0.0	18.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1596338054.0	1609949428.0	13611374.0	True	49%	False	35.0	False	4.947977	166.0	5.0	2.0	0.0	0.0	None	None	10900000000.0	10900000000.0	10900000000.0	21500000000.0	10900000000.0	10900000000.0	None	109.0	10540.0	173.0	True	False	9.0	0.0	526.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1603987674.0	1609949428.0	5961754.0	True	50%	False	48.0	False	4.8854169999999995	89.0	4.0	2.0	1.0	0.0	None	None	4950000000.0	9900000000.0	4950000000.0	9900000000.0	4950000000.0	9900000000.0	None	25.0	4025.0	96.0	True	False	9.0	0.0	431.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1596082707.0	1609949428.0	13866721.0	True	39%	False	8.0	False	5.0	66.0	0.0	0.0	0.0	0.0	None	None	14900000000.0	24500000000.0	14900000000.0	24500000000.0	14900000000.0	24500000000.0	None	85.0	4551.0	66.0	True	False	7.0	0.0	141.0
Ao ngan tay khong co	Hà Nội	1590391265.0	1609949428.0	19558163.0	False	None	False	10.0	False	4.6875	27.0	1.0	3.0	1.0	0.0	None	None	7200000000.0	-1.0	7200000000.0	-1.0	7200000000.0	0.0	None	128.0	3613.0	32.0	False	False	1.0	0.0	158.0
Ao ngan tay khong co	Nước ngoài	1590547102.0	1609949428.0	19402326.0	False	29%	False	10.0	False	4.655172	25.0	1.0	1.0	1.0	1.0	None	None	5000000000.0	7000000000.0	5000000000.0	7000000000.0	5000000000.0	7000000000.0	None	37.0	402.0	29.0	False	False	9.0	0.0	70.0
Ao ngan tay khong co	Bình Định	1557082427.0	1609949428.0	52867001.0	False	None	False	7.0	False	5.0	2.0	0.0	0.0	0.0	0.0	None	None	9800000000.0	-1.0	9800000000.0	-1.0	9800000000.0	0.0	None	1243.0	27.0	2.0	False	True	4.0	0.0	2.0
Ao ngan tay khong co	Hà Nội	1591847956.0	1609949428.0	18101472.0	True	17%	False	15.0	False	4.94152	167.0	4.0	1.0	0.0	1.0	None	None	2900000000.0	3500000000.0	2900000000.0	3500000000.0	2900000000.0	3500000000.0	None	28.0	1077.0	173.0	True	False	9.0	0.0	350.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1564976068.0	1609949428.0	44973360.0	True	47%	False	20.0	False	4.864407	56.0	1.0	0.0	1.0	1.0	None	None	8490000000.0	16000000000.0	8490000000.0	16000000000.0	8490000000.0	16000000000.0	None	6471.0	198.0	59.0	True	True	5.0	1.0	124.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1562678957.0	1609949428.0	47270471.0	True	45%	False	20.0	False	4.9259260000000005	26.0	0.0	1.0	0.0	0.0	None	None	9380000000.0	17000000000.0	9380000000.0	17000000000.0	9380000000.0	17000000000.0	None	8015.0	112.0	27.0	True	True	6.0	1.0	65.0
Ao ngan tay khong co	Hà Nội	1585651573.0	1609949428.0	24297855.0	False	None	False	3.0	False	5.0	1.0	0.0	0.0	0.0	0.0	None	None	1000000000.0	-1.0	5000000000.0	-1.0	1000000000.0	0.0	None	0.0	6.0	1.0	False	False	1.0	0.0	13.0
Ao ngan tay khong co	Hà Nội	1603527281.0	1609949428.0	6422147.0	True	30%	False	33.0	False	5.0	6.0	0.0	0.0	0.0	0.0	None	None	17500000000.0	25000000000.0	17500000000.0	25000000000.0	17500000000.0	25000000000.0	None	32.0	120.0	6.0	False	False	9.0	0.0	27.0
Ao ngan tay khong co	Hà Nội	1580560305.0	1609949428.0	29389123.0	False	None	False	5.0	False	4.857143	6.0	1.0	0.0	0.0	0.0	None	None	7900000000.0	-1.0	7900000000.0	-1.0	7900000000.0	0.0	None	16.0	255.0	7.0	False	True	1.0	0.0	15.0
Ao ngan tay khong co	Hà Nội	1581416958.0	1609949428.0	28532470.0	False	None	False	5.0	False	4.25	2.0	1.0	1.0	0.0	0.0	None	None	7900000000.0	-1.0	7900000000.0	-1.0	7900000000.0	0.0	None	6.0	95.0	4.0	False	True	1.0	0.0	18.0
Ao ngan tay khong co	Hà Nội	1583199037.0	1609949428.0	26750391.0	True	30%	False	21.0	False	4.5	7.0	2.0	0.0	1.0	0.0	None	None	6900000000.0	9900000000.0	6900000000.0	9900000000.0	6900000000.0	9900000000.0	None	3.0	95.0	10.0	True	True	9.0	0.0	28.0
