	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
0	[FREESHIP-HÀNG ĐẸP]Áo gió - Áo gió nam đẹp - Chất liệu poly chống nước, chống gió cực tốt, phù hợp đi đường dài	Hà Nội	1603690408	1609771212	6080804	False	34%	False	16	False	4.84375	[32, 1, 0, 0, 1, 30]	None	None	21000000000	32000000000	21000000000	32000000000	21000000000	32000000000	None	12	726	32	False	False	4	0	80	329
1	Áo chống nắng nam 2020, Chất Vải kim cương sần Siêu Mát, logo thêu chữ	Hà Nội	1593582384	1609771212	16188828	True	44%	False	36	False	4.883008	[719, 4, 3, 12, 38, 662]	None	None	13900000000	24900000000	13900000000	24900000000	13900000000	24900000000	None	233	7343	719	False	True	9	1	311	2171
2	[MÃ GIẢM GIÁ 20K] Áo Khoác Nam Da Lộn Được Yêu Thích Nhất 2020	Hà Nội	1605514797	1609771212	4256415	False	39%	False	12	False	4.8125	[144, 3, 0, 4, 7, 130]	None	None	36600000000	60000000000	36600000000	60000000000	36600000000	60000000000	None	303	46025	144	False	False	5	1	229	369
3	[Video] Áo Nỉ Nam Thu Đông Freesize Cao Cấp Dưới 68kg Mặc Vừa	Hà Nội	1604312284	1609771212	5458928	True	3%	False	6	False	4.309353	[139, 12, 7, 5, 17, 98]	None	None	17500000000	18000000000	17500000000	18000000000	17500000000	18000000000	None	387	64191	139	False	True	9	1	1298	2958
4	Áo gió lông cừu nam nhẹ chống nước, khoác dù ấm thời trang Hàn Quốc DRAWWIND V480	Hà Nội	1605256508	1609771212	4514704	True	49%	False	24	False	5.0	[61, 0, 0, 0, 0, 61]	None	None	17900000000	30000000000	17900000000	35000000000	17900000000	30000000000	None	18	2006	61	False	False	7	0	76	78
5	thời trang nam	TP. Hồ Chí Minh	1606388518	1609771212	3382694	True	None	False	1	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	100000000000	-1	100000000000	-1	100000000000	0	None	0	47	3	False	False	1	0	3	3
6	Áo Khoác Bóng Chày Phong Cách Hip Hop Thời Trang Nam	Nước ngoài	1606797976	1609771212	2973236	True	33%	False	8	False	4.4	[20, 1, 0, 3, 2, 14]	None	None	24800000000	36900000000	24800000000	36900000000	24800000000	36900000000	None	258	16917	20	False	False	9	0	42	44
7	[Xả Lỗ] Áo Khoác Len Dạ Kiểu Vest Cao Cấp, Áo Khoác Măng Tô Thời Trang Nam 2020 - thienvuongshop	Hà Nội	1568111234	1609771212	41659978	False	49%	False	40	False	4.823529	[17, 0, 0, 0, 3, 14]	None	None	29900000000	29900000000	31110000000	61000000000	29900000000	29900000000	None	32	2767	17	False	False	7	0	25	29
8	Áo Khoác Bóng Chày Thời Trang Nam Phong Cách Hàn Quốc	Nước ngoài	1602493868	1609771212	7277344	False	40%	False	16	False	3.888889	[9, 2, 0, 1, 0, 6]	None	None	18580800000	30968000000	18580800000	30968000000	18580800000	30968000000	None	83	3392	9	False	False	9	0	15	32
9	[ Bán Sỉ ] Áo Phao Nam 3 Lớp Khóa Mũ Thời Trang Nam HOAITHU	Hà Nam	1602815623	1609771212	6955589	False	38%	False	12	False	4.533333	[15, 1, 0, 1, 1, 12]	None	None	7400000000	11900000000	15500000000	25000000000	7400000000	11900000000	None	12	2308	15	False	False	6	0	31	45
