category	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discount	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Ao so mi	Áo sơ mi nam tay dài trơn đủ màu có size big LADOS-523, vải lụa mềm mát	TP. Hồ Chí Minh	1590652993	1609949438	19296445	False	45%	False	49	True	4.888889	771	48	12	3	3	None	None	9900000000	17900000000	9900000000	17900000000	9900000000	17900000000	None	435	32314	837	False	True	9	1	2445
Ao so mi	Áo sơ mi nam trơn không nhăn LADOS-523	TP. Hồ Chí Minh	1507346805	1609949438	102602633	False	61%	False	50	True	4.847889	3736	238	92	20	37	None	None	6900000000	17900000000	6900000000	17900000000	6900000000	17900000000	None	1411	34074	4122	False	True	9	1	13361
Ao so mi	Áo sơ mi nam trơn đủ màu cao cấp tay dài LADOS-4523,sơ mi không nhăn	TP. Hồ Chí Minh	1564026320	1609949438	45923118	False	50%	False	45	True	4.861345	217	13	5	2	1	None	None	9900000000	19800000000	9900000000	19800000000	9900000000	19800000000	None	104	5119	238	False	True	9	0	720
Ao so mi	Áo sơ mi Nam họa tiết sọc trắng đen Boo Boo chất lụa Twill chéo mềm mại, thoải mái - FEAER DENIM	TP. Hồ Chí Minh	1594349418	1609949438	15600020	False	33%	False	4	True	4.957063	2257	57	7	3	6	None	None	17500000000	26000000000	17500000000	26000000000	17500000000	26000000000	None	3460	113754	2329	False	True	9	1	5060
Ao so mi	Áo sơ mi nam cao cấp vải lụa THỜI TRANG THIẾT KẾ	TP. Hồ Chí Minh	1556543538	1609949438	53405900	True	28%	False	48	False	4.857749	430	25	11	0	5	None	None	25200000000	35000000000	25200000000	35000000000	25200000000	35000000000	None	5290	12595	497	False	True	4	0	1085
Ao so mi	Áo Sơ Mi Thời Trang Nam Chống Nhăn (ảnh thật)	TP. Hồ Chí Minh	1571043976	1609949438	38905462	False	43%	False	9	False	4.82	181	10	4	2	3	None	None	9063000000	15900000000	9063000000	15900000000	9063000000	15900000000	None	2982	609	200	False	True	7	1	990
Ao so mi	[Hàng sẵn]  Áo Sơ Mi Nam Kẻ Caro Thời Trang Nam Phong Cách Hàn Quốc - KB11	Hà Nội	1547912566	1609949438	62036872	False	None	False	4	False	4.5	123	15	11	8	5	None	None	12900000000	-1	12900000000	-1	12900000000	0	None	2079	1212	162	False	True	5	1	481
Ao so mi	Thời Trang Nam Thanh Lịch In 5D Cao Cấp - Áo sơ mi Vải lụa cao cấp SM000012	TP. Hồ Chí Minh	1572497606	1609949438	37451832	False	50%	False	8	False	4.454545	61	4	5	0	7	None	None	9900000000	19800000000	9900000000	19800000000	9900000000	19800000000	None	84	753	77	False	True	9	0	5184
Ao so mi	Áo Sơ Mi Nam Caro Thời Trang Nam VICERO	Hà Nội	1581143863	1609949438	28805575	False	50%	False	24	True	4.876712	67	4	1	1	0	None	None	12900000000	25800000000	12900000000	25800000000	12900000000	25800000000	None	27	846	73	False	True	9	0	162
Ao so mi	Áo sơ mi kẻ sọc thời trang nam,áo sơ mi nam cao cấp phong cách nam tính 3 màu	Hà Nội	1605198548	1609949438	4750890	True	31%	False	15	False	4.891304	44	1	0	0	1	None	None	13900000000	20000000000	13900000000	20000000000	13900000000	20000000000	None	47	13218	46	False	True	9	0	2367
Ao so mi	Áo Sơ Mi Nam trắng dài tay Hàn Quốc form body, vải lụa Thái chống nhăn [Thời Trang Nam]	Hà Nội	1580876625	1609949438	29072813	True	45%	False	20	False	4.542857	26	5	2	1	1	None	None	6000000000	11000000000	7800000000	11000000000	6000000000	11000000000	None	1819	244	35	False	True	9	0	4120
Ao so mi	Áo Sơ Mi Nam Đỏ Đô dài tay Hàn Quốc form body, vải lụa Thái chống nhăn [Thời Trang Nam]	TP. Hồ Chí Minh	1583598803	1609949438	26350635	False	50%	False	12	False	4.909091	10	1	0	0	0	None	None	5900000000	11800000000	5900000000	11800000000	5900000000	11800000000	None	15	509	11	False	False	5	1	118
Ao so mi	Áo Sơ Mi Nam Form Rộng Dài Tay ACB63 Chất Vải Đũi Mềm Mix Quần Jeans Thời Trang Nam MANDO	Hà Nội	1558165386	1609949438	51784052	True	None	False	24	False	4.741935	54	4	2	0	2	None	None	29000000000	-1	29000000000	-1	29000000000	0	None	1192	2652	62	False	True	9	1	281
