category	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discount	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Phu kien Nam	Tất thể thao xuất khẩu thời trang nam nữ	Hà Nội	1575816611	1609910398	34093787	True	None	False	2	False	4.960265	145	6	0	0	0	None	None	2000000000	-1	2000000000	-1	2000000000	0	None	466	1940	151	False	False	6	0	923
Phu kien Nam	Nón lưỡi trai Kaki snapback Melin nam nữ CAP MAN freesize, full hộp, Nón Kết thêu Logo, Trắng, Đen	TP. Hồ Chí Minh	1604457236	1609910398	5453162	False	25%	False	2	False	5.0	21	0	0	0	0	None	None	18750000000	25000000000	18750000000	25000000000	18750000000	25000000000	None	11	2380	21	False	False	9	0	32
Phu kien Nam	Nón lưỡi trai Kaki Snap brixton nam nữ CAP MAN freesize, full hộp, Nón Kết thêu Logo,	TP. Hồ Chí Minh	1606275986	1609910398	3634412	False	25%	False	1	False	5.0	3	0	0	0	0	None	None	18750000000	25000000000	18750000000	25000000000	18750000000	25000000000	None	4	899	3	False	True	5	0	20
Phu kien Nam	Nón lưỡi trai Kaki nam nữ MrCAPs freesize, full hộp,Nón Kết thuê LoGo	TP. Hồ Chí Minh	1594455404	1609910398	15454994	False	44%	False	12	False	4.964286	27	1	0	0	0	None	None	13900000000	15000000000	13900000000	25000000000	13900000000	15000000000	None	39	807	28	False	True	9	0	64
Phu kien Nam	Tất nam 10 đôi cổ ngắn T&T hàng Việt Nam xuất khẩu ngăn ngừa hôi chân	Hà Nội	1536035440	1609910398	73874958	False	20%	False	1	False	4.911004	4471	195	51	18	18	None	None	6300000000	7900000000	6300000000	7900000000	6300000000	7900000000	None	5329	25469	4753	False	True	7	0	12533
Phu kien Nam	Thời trang nam - Tất nam cổ ngắn (Mác ngẫu nhiên)	Hà Nội	1607582799	1609910398	2327599	True	38%	False	4	False	5.0	3	0	0	0	0	None	None	990000000	1500000000	2800000000	4500000000	990000000	1500000000	None	0	58	3	False	False	2	0	7
Phu kien Nam	Găng tay nam hàn quốc chất nỉ lót lông giữ ấm MS599 thời trang – bao tay nỉ cảm ứng điện thoại chống thấm tốt giữ nhiệt.	Hà Nội	1574481711	1609910398	35428687	True	20%	False	2	False	4.724138	51	2	2	2	1	None	None	6800000000	8500000000	6800000000	8500000000	6800000000	8500000000	None	757	7848	58	False	False	7	1	186
Phu kien Nam	Cổ áo sơ mi giả thời trang nam nữ	Nước ngoài	1575450260	1609910398	34460138	True	39%	False	4	False	5.0	34	0	0	0	0	None	None	5750000000	9400000000	5750000000	9400000000	5750000000	9400000000	None	206	2788	34	False	True	9	0	144
Phu kien Nam	Cà vạt Nam giá rẻ bản to 8cm thời trang, cà vạt công sở, CV-801, CV-820 {Phụ Kiện Vest Nam – AdamZone}	Hà Nội	1568146908	1609910398	41763490	True	None	False	18	False	4.943396	51	1	1	0	0	None	None	1290000000	-1	5290000000	-1	1290000000	0	None	38	771	53	False	True	9	0	226
Phu kien Nam	[FREESHIP - SIÊU SALE ] Nón kết trơn thời trang nam(N018)	TP. Hồ Chí Minh	1536402077	1609910398	73508321	True	50%	False	13	False	4.8335930000000005	582	35	13	6	7	None	None	2000000000	2000000000	2000000000	4000000000	2000000000	2000000000	None	127	432	643	False	True	9	0	1425
