name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
Hộp 4 Sịp Đùi Boxer Thông Hơi Cao Cấp Dành Cho Nam VEIKUCOOL	Hà Nội	True	41%	False	4	False	4.852113	[1563, 11, 5, 35, 106, 1406]	None	None	11900000000	20000000000	11900000000	20000000000	11900000000	20000000000	None	616	12603	1563	False	True	9	1	524	4861
Quần âu nam Hàn Quốc dáng ôm công sở quần tây nam vải co giãn nhẹ chống nhăn chống xù	Hà Nội	True	45%	False	8	False	4.595002	[3124, 119, 76, 161, 247, 2521]	None	None	7200000000	13000000000	7500000000	13000000000	7200000000	13000000000	None	7262	42548	3124	False	True	8	1	2113	18229
Combo 3 quần lót nam ADlDAS (mua 3 tặng 1) Dư xịn	TP. Hồ Chí Minh	False	None	False	4	False	5.0	[7, 0, 0, 0, 0, 7]	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	3884	2438	7	False	False	5	0	14	16
Quần Jogger - Quần Jogger nam đẹp - Kiểu dáng thể thao, năng động, dáng khỏe khoắn, bao đẹp cho các bạn trẻ	Hà Nội	False	44%	False	5	False	4.866667	[30, 0, 1, 0, 1, 28]	None	None	10900000000	19500000000	10900000000	19500000000	10900000000	19500000000	None	156	1016	30	False	False	6	0	89	323
[Mã MAJK12 hoàn 15% đơn 99K tối đa 50K xu] Quần Lót Nam Jockey Trunk Thun Poly - JAMB0328	TP. Hồ Chí Minh	False	37%	False	3	True	5.0	[29, 0, 0, 0, 0, 29]	None	None	7900000000	12500000000	7900000000	12500000000	7900000000	12500000000	None	19	1821	29	False	False	9	0	45	131
Quần tây nam vải co giãn ống côn ĐẲNG CẤP thời trang nam	Hà Nội	True	43%	False	8	False	4.810651	[174, 4, 0, 4, 8, 158]	None	None	6900000000	12000000000	7400000000	12000000000	6900000000	12000000000	None	70	4177	174	False	True	8	1	321	5474
QUẦN JEAN THỜI TRANG NAM RÁCH GỐI	TP. Hồ Chí Minh	True	50%	False	5	False	4.857143	[7, 0, 0, 0, 1, 6]	None	None	12500000000	25000000000	12500000000	25000000000	12500000000	25000000000	None	4	66	7	False	True	1	0	2	13
quần thời trang nam-quần jogger nam túi hộp ống bó	TP. Hồ Chí Minh	False	None	False	1	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	6500000000	-1	6500000000	-1	6500000000	0	None	0	125	1	False	False	4	0	2	4
(Hàng sịn ) Quần Âu Nam Đẹp KOREA vải mịn dáng slimfit phong cách Hàn Quốc đẳng cấp Thời trang nam	Hà Nội	True	45%	False	7	False	4.833828	[337, 0, 2, 8, 34, 293]	None	None	9900000000	18000000000	9900000000	18000000000	9900000000	18000000000	None	201	12281	337	True	True	8	1	372	8057
Quần tây nam (đen) ống côn dáng body, quần âu nam phong cách thời trang nam cao cấp OKU	TP. Hồ Chí Minh	True	42%	False	7	False	4.55	[100, 3, 3, 7, 10, 77]	None	None	9900000000	17000000000	9900000000	17000000000	9900000000	17000000000	None	57	5947	100	False	False	9	1	523	1299
QUẦN SHORT JEAN NAM - Thời trang nam	Thừa Thiên Huế	False	48%	False	6	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	7500000000	14500000000	7500000000	14500000000	7500000000	14500000000	None	6	26	3	False	False	7	0	5	14
Quần tây âu (2 Màu ĐEN  XANH) Nam Nữ Unisex [Thời trang nam]	Hà Nội	True	28%	False	7	False	4.896104	[77, 1, 0, 0, 4, 72]	None	None	12900000000	18000000000	12900000000	18000000000	12900000000	18000000000	None	85	2036	77	True	True	7	0	20	1808
Quần đùi thể thao thời trang nam Bonado Ha04	TP. Hồ Chí Minh	False	47%	False	4	True	4.786667	[225, 4, 0, 5, 22, 194]	None	None	6900000000	13000000000	6900000000	13000000000	6900000000	13000000000	None	1211	2720	225	False	True	7	1	113	956
Quần tây nam vải co giãn ống côn ĐẲNG CẤP thời trang nam	Hà Nội	True	45%	False	7	False	4.875233	[1611, 6, 7, 38, 80, 1480]	None	None	9900000000	18000000000	9900000000	18000000000	9900000000	18000000000	None	633	11140	1611	True	True	9	1	546	11571
Quần Jogger Thời Trang Nam Vải Đũi (Linen) Cao Cấp	Hà Nội	False	None	False	4	False	4.776596	[94, 1, 1, 5, 4, 83]	None	None	20000000000	-1	20000000000	-1	20000000000	0	None	47	110	94	False	False	9	0	4	258
