name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
Áo Thun Trơn Nam - Áo phông nam tay ngắn 100% cotton Trắng Đen dáng ôm vừa vặn AT01	TP. Hồ Chí Minh	True	49%	False	5	False	4.95122	[164, 0, 0, 2, 4, 158]	None	None	10900000000	10900000000	10900000000	21500000000	10900000000	10900000000	None	104	9780	164	True	False	9	0	224	490
Áo thun tay lở form rộng thêu hình vuông -  Unisex nam nữ đều mặc được	TP. Hồ Chí Minh	True	45%	False	4	False	4.897638	[127, 0, 1, 2, 6, 118]	None	None	7150000000	13000000000	7150000000	13000000000	7150000000	13000000000	None	345	17771	127	False	False	9	0	235	292
Áo thun nam cổ tròn cao cấp RIVER manZONE ZONE12	TP. Hồ Chí Minh	False	27%	False	4	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	13900000000	19000000000	13900000000	19000000000	13900000000	19000000000	None	0	129	0	False	False	9	0	0	0
FreeShip Đơn 50K ⚡️Siêu Phẩm⚡️ Áo thun nam nữ unisex tay lỡ in hình ông trùm mèo đẹp vải dày mịn	Đồng Nai	True	None	False	11	False	4.789474	[228, 6, 2, 6, 6, 208]	None	None	990000000	-1	3990000000	-1	990000000	0	None	12235	6434	228	False	False	6	0	145	644
ÁO THUN TRƠN BA LỖ NAM ĐỦ MÀU - SNN000	TP. Hồ Chí Minh	True	34%	False	7	False	4.705357	[112, 2, 1, 6, 10, 93]	None	None	2900000000	4400000000	2900000000	4400000000	2900000000	4400000000	None	364	2408	112	False	True	6	0	139	536
thời trang nam ÁO THUN CỔ TRÒN NGẮN TAY CAO CẤP	Hà Nội	False	None	False	3	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	1000000000	-1	5000000000	-1	1000000000	0	None	0	0	1	False	False	1	0	13	13
Áo tay lỡ form rộng thời trang nam Unisex	Bình Dương	False	None	False	3	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	9000000000	-1	9000000000	-1	9000000000	0	None	5	9	3	False	False	6	1	0	11
[Nhiều Màu] Áo Thun Thời Trang Nam Áo Phông nam Cổ Tròn Ngắn Tay VNXK Cao Cấp TUTO5_AT02	Hà Nội	True	30%	False	3	False	5.0	[6, 0, 0, 0, 0, 6]	None	None	17500000000	25000000000	17500000000	25000000000	17500000000	25000000000	None	31	119	6	False	False	9	0	21	25
⚡Rẻ vô đich ⚡Áo thun unisex | áo in hình chữ Tàu thời trang nam đẹp giá rẻ	Hà Nội	False	None	False	5	False	4.857143	[7, 0, 0, 0, 1, 6]	None	None	7900000000	-1	7900000000	-1	7900000000	0	None	16	247	7	False	True	1	0	4	15
Áo thun nam FREESHIP áo phông cổ tròn thun cotton cao cấp thời trang nam Liyor - TBDACT4016	TP. Hồ Chí Minh	True	45%	False	4	False	4.925926	[27, 0, 0, 1, 0, 26]	None	None	9380000000	17000000000	9380000000	17000000000	9380000000	17000000000	None	8015	102	27	True	True	6	1	5	65
Áo thun lạnh cổ tròn nam thời trang nam 036, phom 40-75kg.	Hà Nội	True	17%	False	3	False	4.940476	[170, 1, 0, 1, 4, 164]	None	None	2900000000	3500000000	2900000000	3500000000	2900000000	3500000000	None	29	1088	170	True	False	9	0	23	347
